name,time on table (in m),occlusion,occlusion through experiment,sizeX,sizeY
Large1,125.16125,5.41666666667,4.64194981741,160,104
Blue1,6.383,1.59375,0.0696535861007,96,51
Small1,48.95305,2.24283854167,0.751754791319,106,65
Blue2,0.699333333333,2.76041666667,0.0132177431625,80,106
White1,121.689416667,1.5556640625,1.29618522626,81,59
White2,89.6732,1.4501953125,0.890405027709,81,55
Glass1,24.616,2.578125,0.434530126669,88,90
Blue3,64.2501833333,1.94661458333,0.856352919264,92,65
Ipad,4.06425,5.419921875,0.150824494902,90,185
Keyboard,97.3197833333,4.55924479167,3.03803297014,149,94
physical item,51.0868958333,2.73299153646,6.7492020942,94,88
hybrid item,87.05715,3.82975260417,5.39370460873,133,84
